"pair","gene","excess_before","excess_after","retained","induced_share"
"macrophage -> malignant","HLA-B",1575.39024082246,1347.25076440228,0.85518541977188,0.815677152989375
"macrophage -> malignant","DUSP5",5885.25518733913,5463.0212729396,0.928255631920962,0.871897183309587
"macrophage -> malignant","COL9A2",2900.91222717117,2781.310849373,0.958771114590119,0.924324919739516
"macrophage -> malignant","NPPC",959.622151723473,879.131377720327,0.916122430210073,0.857768310181706
"macrophage -> malignant","GADD45B",248.402550490555,205.849109930968,0.828691611758614,0.790838391047244
"macrophage -> malignant","B2M",1398.98839606328,1294.5521559917,0.925348744588973,0.879710822789846
"malignant -> fibroblast","MIF",781.15897502981,576.068506598165,0.737453610612592,0.711965583517343
"malignant -> fibroblast","RAC1",620.97915846989,470.545895533601,0.757748290124645,0.740854769260032
"malignant -> fibroblast","ITGB1",877.983980438425,791.415686327743,0.901401055099601,0.865798263247123
"malignant -> fibroblast","TPM1",1034.53954124886,934.070865788429,0.902885610984815,0.838803311116896
"malignant -> fibroblast","MMP7",2716.71850048049,2181.68697328602,0.803059637168945,0.717687481861192
"malignant -> immune other","IL1RN",1220.86251382682,1186.47066684097,0.971829877159507,0.970706400381019
"malignant -> immune other","SLC40A1",728.266520614824,408.372002923125,0.560745264767032,0.734462409616055
"malignant -> immune other","RARA",486.153108542931,425.444693657822,0.875124906498982,0.879199573507176
"malignant -> immune other","IL1RAP",960.563664470467,925.173998120146,0.963157396371192,0.963770759030041
"malignant -> immune other","KRT16",532.175909212076,428.574962244281,0.805325748170029,0.851496435965331
"malignant -> immune other","IER3",766.220077912973,397.353956367954,0.518589851430499,0.69137479337553
"malignant -> immune other","KRT18",650.661097876074,324.104599438377,0.498115840175996,0.669101210101408
"malignant -> immune other","PF4",212.966397826329,203.572596633373,0.955890688442708,0.950387158232483
"malignant -> immune other","CD9",637.054636682486,436.441971305943,0.685093469500121,0.779727795401744
"malignant -> immune other","KRT6C",272.298182310481,228.687105308991,0.839840734038529,0.843168869224388
"malignant -> immune other","CXCL6",174.317708409857,167.328114094547,0.959903131018241,0.947443412223142
