target,source,gene,retained_molecules,log_fold_per_neighbor,z,dispersion,owner
Ductal/tumor epithelial,Endothelial,AGR3,1788.0,0.15220742168039444,4.428936669751277,1.4172690753974766,Ductal/tumor epithelial
Ductal/tumor epithelial,Exocrine epithelial,AGR3,1788.0,0.24340046525896797,14.58065148047523,1.4172690753974766,Ductal/tumor epithelial
Ductal/tumor epithelial,Fibroblast / CAF,AGR3,1788.0,-0.080274992110722,-3.586497620224249,1.4172690753974766,Ductal/tumor epithelial
Ductal/tumor epithelial,Immune,AGR3,1788.0,0.23715449131088187,10.75460012189269,1.4172690753974766,Ductal/tumor epithelial
Ductal/tumor epithelial,Mural / pericyte,AGR3,1788.0,0.42546160011351697,5.260369652757878,1.4172690753974766,Ductal/tumor epithelial
Ductal/tumor epithelial,Endocrine,DUSP2,653.410886891801,-0.5643096625429711,-1.3726754442661766,1.0,Immune
Ductal/tumor epithelial,Endothelial,DUSP2,653.410886891801,0.0850892200848486,1.2589244998826563,1.0,Immune
Ductal/tumor epithelial,Exocrine epithelial,DUSP2,653.410886891801,-0.13392186517840607,-4.183812179758189,1.0,Immune
Ductal/tumor epithelial,Fibroblast / CAF,DUSP2,653.410886891801,-0.027850416964587045,-0.9815001821538338,1.0,Immune
Ductal/tumor epithelial,Immune,DUSP2,653.410886891801,-0.08979424426826281,-2.2237253340177685,1.0,Immune
Ductal/tumor epithelial,Mural / pericyte,DUSP2,653.410886891801,-0.18912425601378338,-1.135320752451531,1.0,Immune
Ductal/tumor epithelial,Endocrine,HMGCS2,1022.0,0.044140354041013005,0.23365359406590147,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Endothelial,HMGCS2,1022.0,-0.0759610755853175,-0.9259496134058747,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Exocrine epithelial,HMGCS2,1022.0,-0.20910989022466475,-6.482562768137158,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Fibroblast / CAF,HMGCS2,1022.0,-0.21215000877739648,-7.248272907907138,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Immune,HMGCS2,1022.0,-0.2732770367843643,-6.049575367527028,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Mural / pericyte,HMGCS2,1022.0,-0.43824975603442357,-2.2268719196401,1.2626084246915066,Ductal/tumor epithelial
Ductal/tumor epithelial,Endocrine,CFAP53,596.0,-0.029362882523189634,-0.17155325495777016,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Endothelial,CFAP53,596.0,-0.04700674808021677,-0.6823839056786256,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Exocrine epithelial,CFAP53,596.0,0.1663164639928248,6.218585054788099,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Fibroblast / CAF,CFAP53,596.0,-0.0020698664094299254,-0.0639881896976859,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Immune,CFAP53,596.0,0.007611063432394997,0.1901011005188428,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Mural / pericyte,CFAP53,596.0,-0.3658619367514871,-1.7810745490807507,1.114345460615616,Ductal/tumor epithelial
Ductal/tumor epithelial,Endocrine,LILRA5,187.4584515130046,0.21543022206848053,1.069544393960266,1.0,Immune
Ductal/tumor epithelial,Endothelial,LILRA5,187.4584515130046,0.1230442861572619,1.2161609661878416,1.0,Immune
Ductal/tumor epithelial,Exocrine epithelial,LILRA5,187.4584515130046,0.12398594615333484,2.6997460224226386,1.0,Immune
Ductal/tumor epithelial,Fibroblast / CAF,LILRA5,187.4584515130046,-0.03656085995854465,-0.6593273380167877,1.0,Immune
Ductal/tumor epithelial,Immune,LILRA5,187.4584515130046,-0.007610638993634418,-0.11166566782507507,1.0,Immune
Ductal/tumor epithelial,Mural / pericyte,LILRA5,187.4584515130046,0.037448510658629454,0.13636823909034088,1.0,Immune
Ductal/tumor epithelial,Endocrine,C20orf85,337.0,-0.01631995453145014,-0.043838453641529745,1.3075408751468112,Ductal/tumor epithelial
Ductal/tumor epithelial,Endothelial,C20orf85,337.0,-0.13079114280622947,-0.9011331088121438,1.3075408751468112,Ductal/tumor epithelial
Ductal/tumor epithelial,Exocrine epithelial,C20orf85,337.0,-0.28301157403833554,-4.438320754189077,1.3075408751468112,Ductal/tumor epithelial
Ductal/tumor epithelial,Fibroblast / CAF,C20orf85,337.0,-0.049669714044618014,-1.1022412207289518,1.3075408751468112,Ductal/tumor epithelial
Ductal/tumor epithelial,Immune,C20orf85,337.0,-0.052070686143493576,-0.8135247350641951,1.3075408751468112,Ductal/tumor epithelial
