cls,gene,n,removal_prob
ambient,ANPEP,1,0.9994574688079445
ambient,CPA3,1,0.8020937347446642
induction,CA4,2,0.01689739979199989
induction,PROX1,2,0.11625976923410086
induction,DIRAS3,6,0.021748414325711618
ambient,KCNK3,1,0.9329530102425966
ambient,PROX1,1,0.31796883855827607
inplane,GDF15,2,0.8636401245415184
inplane,AMY2A,2,0.9999659793648833
inplane,GATM,1,0.9999265081487886
induction,CA4,3,0.019354712322546597
induction,PROX1,3,0.1348344589998144
induction,DIRAS3,4,0.025942495962057666
inplane,AMY2A,1,0.9999808605182834
inplane,KCNK3,1,0.9765361913959201
inplane,GATM,2,0.9999596779536684
induction,CA4,3,0.021035039508804698
induction,PROX1,4,0.14333985914036051
induction,DIRAS3,3,0.028186085796504723
outplane,SMYD2,1,0.7676411549862363
outplane,ANPEP,1,0.9997249602524962
outplane,AMY2A,1,0.9999805009769278
outplane,AQP8,1,0.9998320543986894
induction,CA4,1,0.01263814870576574
induction,PROX1,5,0.08812803101400657
induction,DIRAS3,4,0.016938648970406867
inplane,ANPEP,1,0.999620941052379
inplane,AMY2A,3,0.9999733753980309
outplane,EPCAM,1,0.9991750368416594
outplane,ANPEP,1,0.9994713033991436
outplane,GPC3,1,0.6033090811938218
outplane,GATM,2,0.9999198877581178
ambient,UMOD,1,0.8653497337946606
ambient,PEBP4,1,0.6482885655170045
induction,CA4,7,0.012818340671691186
induction,PROX1,1,0.0937473953170136
induction,DIRAS3,2,0.017610523628575625
inplane,AMY2A,1,0.9999804923676139
inplane,COCH,1,0.8227772027331743
inplane,GATM,2,0.9999588515111043
induction,CA4,3,0.014421286844738312
induction,PROX1,3,0.10413686378013065
induction,DIRAS3,4,0.01968010757582417
inplane,AMY2A,2,0.9999741332234138
inplane,EGFR,1,0.851087995124414
inplane,GATM,2,0.9999445951757758
inplane,AQP8,1,0.9997707909310077
inplane,AMY2A,5,0.9999761084442054
inplane,KCNK3,1,0.9564678711939264
inplane,ANPEP,1,0.9995784733612195
inplane,ADAM28,1,0.8265342492305792
inplane,AMY2A,3,0.9999707111556528
inplane,GPC3,1,0.8524742622847296
inplane,GATM,1,0.9999367615109087
inplane,TCIM,1,0.0
inplane,CYTIP,1,0.9023372729548879
inplane,AMY2A,3,0.9999591084258114
inplane,GATM,1,0.9999099069472593
ambient,DPEP1,1,0.943778929781515
ambient,HAMP,1,0.7585496829330275
ambient,ANPEP,1,0.9996655465176583
ambient,PEBP4,1,0.6361324702022276
ambient,DPEP1,1,0.9678853943020773
ambient,AQP3,1,0.8509348299916767
ambient,RIDA,1,0.8338565424422015
ambient,UMOD,1,0.8865524650991545
ambient,HAMP,1,0.8408146954442286
ambient,GATM,1,0.9999436434474896
ambient,HAMP,1,0.8417583839522284
ambient,AQP3,1,0.812916501674676
inplane,TENT5C,1,0.9978286472157238
inplane,AMY2A,2,0.9999793663550443
inplane,GATM,1,0.9999561752163014
ambient,KLK11,1,0.9968954437864075
ambient,AQP3,1,0.8609969250037196
outplane,CD79A,1,0.9727819925216792
outplane,AMY2A,3,0.9999695292105947
outplane,GATM,1,0.9999341174513376
outplane,AQP8,1,0.9997255692611299
outplane,APOLD1,1,0.0
