pair,stratum,totals,rate,excess_rate,lam
Myeloid -> Epithelial,8,30940,0.017020195605233074,0.016150772954174428,0.14014446762421576
Myeloid -> Epithelial,9,8425,0.017020195605233074,0.016150772954174428,0.14014446762421576
Myeloid -> Epithelial,10,2786,0.02297200287150036,0.022102580220441714,0.1917898509813868
Myeloid -> Epithelial,11,528,0.05319148936170213,0.05232206671064348,0.45401221384061324
Myeloid -> Epithelial,12,130,0.05319148936170213,0.05232206671064348,0.45401221384061324
T / NK -> Epithelial,0,21384912,0.000751978778308744,0.0,0.0
T / NK -> Epithelial,1,14909674,0.0011047189898317025,0.0003527402115229585,0.007963483237222048
T / NK -> Epithelial,2,7400003,0.001916620844613171,0.001164642066304427,0.026293026055452442
T / NK -> Epithelial,3,3379442,0.004197734418877436,0.003445755640568692,0.07779157687964962
T / NK -> Epithelial,4,1596243,0.009790489292670351,0.009038510514361607,0.20405393153167373
T / NK -> Epithelial,5,802968,0.019454075380338942,0.018702096602030198,0.4222196050406387
T / NK -> Epithelial,6,455382,0.031832615254884906,0.031080636476576162,0.6
T / NK -> Epithelial,7,274789,0.04339693364727118,0.042644954868962436,0.6
T / NK -> Epithelial,8,188685,0.048053634364151894,0.04730165558584315,0.6
T / NK -> Epithelial,9,105608,0.05465495038254678,0.053902971604238036,0.6
T / NK -> Epithelial,10,54331,0.05484898124459332,0.05409700246628458,0.6
T / NK -> Epithelial,11,22658,0.06205313796451584,0.0613011591862071,0.6
T / NK -> Epithelial,12,5878,0.06362708404219122,0.06287510526388249,0.6
T / NK -> Epithelial,13,1788,0.06594948550046772,0.06519750672215899,0.6
T / NK -> Epithelial,14,263,0.06594948550046772,0.06519750672215899,0.6
T / NK -> Epithelial,15,87,0.06594948550046772,0.06519750672215899,0.6
B / plasma -> Fibroblast / CAF,0,529770,0.0014006078109368217,0.0,0.0
B / plasma -> Fibroblast / CAF,1,200119,0.002973230927598079,0.0015726231166612573,0.03576207740492525
B / plasma -> Fibroblast / CAF,2,73060,0.005570763755817137,0.004170155944880315,0.09483101075611515
B / plasma -> Fibroblast / CAF,3,27353,0.008079552517091361,0.006678944706154539,0.15188186860168307
B / plasma -> Fibroblast / CAF,4,14297,0.01350029348464097,0.012099685673704149,0.27515168195984147
B / plasma -> Fibroblast / CAF,5,4042,0.01350029348464097,0.012099685673704149,0.27515168195984147
B / plasma -> Fibroblast / CAF,6,2105,0.01350029348464097,0.012099685673704149,0.27515168195984147
B / plasma -> Fibroblast / CAF,7,736,0.01358695652173913,0.012186348710802309,0.27712243401608116
B / plasma -> Fibroblast / CAF,8,169,0.01775147928994083,0.016350871479004006,0.3718253440859721
Epithelial -> Fibroblast / CAF,0,132443,0.0012760206277417454,0.0,0.0
Epithelial -> Fibroblast / CAF,1,156268,0.0021437530396498324,0.000867732411908087,0.0407574405770207
Epithelial -> Fibroblast / CAF,2,129657,0.0028999591229166184,0.001623938495174873,0.07627648317559572
Epithelial -> Fibroblast / CAF,3,86285,0.0042417569681868226,0.002965736340445077,0.13930080403128312
Epithelial -> Fibroblast / CAF,4,55327,0.006832107289388545,0.0055560866616468,0.26096970545896037
Epithelial -> Fibroblast / CAF,5,42013,0.00963987337252755,0.008363852744785806,0.3928506375496171
Epithelial -> Fibroblast / CAF,6,34928,0.012454191479615209,0.011178170851873464,0.5250393185765607
Epithelial -> Fibroblast / CAF,7,34435,0.015465382371857192,0.014189361744115447,0.6
Epithelial -> Fibroblast / CAF,8,32424,0.015465382371857192,0.014189361744115447,0.6
Epithelial -> Fibroblast / CAF,9,27565,0.01650643932523127,0.015230418697489525,0.6
Epithelial -> Fibroblast / CAF,10,24161,0.018515336369103876,0.01723931574136213,0.6
Epithelial -> Fibroblast / CAF,11,26270,0.018515336369103876,0.01723931574136213,0.6
Epithelial -> Fibroblast / CAF,12,19403,0.018515336369103876,0.01723931574136213,0.6
Epithelial -> Fibroblast / CAF,13,20605,0.02068731038811591,0.019411289760374165,0.6
Epithelial -> Fibroblast / CAF,14,17631,0.02068731038811591,0.019411289760374165,0.6
Epithelial -> Fibroblast / CAF,15,12236,0.02247466492317751,0.021198644295435762,0.6
Myeloid -> Fibroblast / CAF,0,239539,0.0022125833371601285,0.0,0.0
Myeloid -> Fibroblast / CAF,1,194587,0.0037772307502556696,0.001564647413095541,0.020244348773752096
Myeloid -> Fibroblast / CAF,2,162966,0.005080814403004307,0.002868231065844179,0.03711089768510975
Myeloid -> Fibroblast / CAF,3,113995,0.005544102811526821,0.0033315194743666924,0.043105201607174015
Myeloid -> Fibroblast / CAF,4,69952,0.006575937785910338,0.00436335444875021,0.05645570276388411
Myeloid -> Fibroblast / CAF,5,38540,0.008497433369101824,0.006284850031941696,0.08131716767142705
Myeloid -> Fibroblast / CAF,6,18313,0.008497433369101824,0.006284850031941696,0.08131716767142705
Myeloid -> Fibroblast / CAF,7,8113,0.008497433369101824,0.006284850031941696,0.08131716767142705
Myeloid -> Fibroblast / CAF,8,3996,0.008497433369101824,0.006284850031941696,0.08131716767142705
Myeloid -> Fibroblast / CAF,9,1070,0.020395156150414276,0.018182572813254146,0.23525705699241972
Myeloid -> Fibroblast / CAF,10,389,0.020395156150414276,0.018182572813254146,0.23525705699241972
Myeloid -> Fibroblast / CAF,11,110,0.020395156150414276,0.018182572813254146,0.23525705699241972
Myeloid -> Fibroblast / CAF,13,81,0.024691358024691357,0.022478774687531226,0.29084389938091754
T / NK -> Fibroblast / CAF,0,107694,0.0007057031960926328,0.0,0.0
T / NK -> Fibroblast / CAF,1,136342,0.0020609936776635226,0.0013552904815708898,0.14094884336377722
T / NK -> Fibroblast / CAF,2,129611,0.0030630116270995516,0.0023573084310069188,0.24515769963719503
T / NK -> Fibroblast / CAF,3,111226,0.004926905579630662,0.004221202383538029,0.4390007910883302
T / NK -> Fibroblast / CAF,4,90996,0.007582750890149018,0.006877047694056385,0.6
