target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit,z_raw,lfc_raw,hit_raw,clean,sign_consistent
Fibroblast / CAF,Immune,CRISPLD2,Mural / pericyte,14013.556618674058,0.090059143970555,12.960134155252035,1.1753154635645564,0.0550766051203499,57.23637810369459,True,7.70414316848246,0.053742429748975626,True,False,True
Fibroblast / CAF,Ductal/tumor epithelial,SFRP4,Fibroblast / CAF,21924.0,-0.1626941838180849,-23.260972220156702,1.7845289953261838,0.0,0.0,True,-24.942303594228413,-0.17524014866980642,True,True,True
Fibroblast / CAF,Endocrine,SFRP4,Fibroblast / CAF,21924.0,0.1148334565932109,6.672810709913676,1.7845289953261838,0.0,0.0,True,4.673716933651553,0.0807703805513592,False,True,True
Fibroblast / CAF,Exocrine epithelial,SFRP4,Fibroblast / CAF,21924.0,0.2291025736962334,34.505083156134184,1.7845289953261838,0.0,0.0,True,19.129091857417627,0.12647381481786227,True,True,True
Fibroblast / CAF,Immune,SFRP4,Fibroblast / CAF,21924.0,0.1037105810229489,15.084525428002037,1.7845289953261838,0.0,0.0,True,8.141173662089967,0.056239750939431066,True,True,True
Fibroblast / CAF,Ductal/tumor epithelial,COL5A2,Fibroblast / CAF,40284.0,0.0885576532029023,25.02586496224362,1.2281524554268872,0.0,0.0,True,17.875590465237998,0.0664226006595598,True,True,True
Fibroblast / CAF,Endocrine,COL5A2,Fibroblast / CAF,40284.0,-0.1249523987845235,-7.22457459983754,1.2281524554268872,0.0,0.0,True,-9.097942475349393,-0.163161376117448,True,True,True
Fibroblast / CAF,Exocrine epithelial,COL5A2,Fibroblast / CAF,40284.0,-0.1894263012823195,-30.702231163729657,1.2281524554268872,0.0,0.0,True,-45.28749135833278,-0.2881880987686387,True,True,True
Fibroblast / CAF,Exocrine epithelial,MDM2,Ductal/tumor epithelial,9709.178091960166,-0.1154692733806873,-10.333785517587236,1.101066894285135,0.267234200964761,74.12693050742597,True,-17.32047353772844,-0.16466042241940054,True,False,True
Fibroblast / CAF,Exocrine epithelial,AIF1,Immune,1771.8072632406413,0.1511051393972183,9.04722445421358,1.0,0.708777530160272,23.63357333809041,True,12.945184101900448,0.14454733341893683,True,False,True
Fibroblast / CAF,Immune,AIF1,Immune,1771.8072632406413,-0.218981989189724,-12.221768744050426,1.0,0.708777530160272,253.9016583178111,True,17.701922776816318,0.2225868769970435,True,False,False
Fibroblast / CAF,Immune,CD4,Immune,914.4085768661524,-0.1590551294577589,-6.393951710889937,1.0,0.6227721768871113,82.41857605295043,True,10.71054384552746,0.1982302223656474,True,False,False
Fibroblast / CAF,Ductal/tumor epithelial,IL7R,Immune,3318.229466028753,-0.2841022929264271,-14.517824470295894,1.7646270251795475,0.5362954236698678,5.799768608714939,True,-17.708842138892734,-0.33650693482108873,True,False,True
Fibroblast / CAF,Immune,CD68,Immune,895.9779903372234,-0.2146245544728646,-8.508206305416035,1.0,0.6551068909675029,100.6383709785341,True,10.38280470655789,0.1828768454300298,True,False,False
Fibroblast / CAF,Ductal/tumor epithelial,CNN1,Mural / pericyte,2830.096665171749,0.0880196200930667,6.669361637636704,1.2253254409320238,0.0978973596346581,7.088606077318259,True,4.926889009985306,0.06477007125112635,False,True,True
Fibroblast / CAF,Endothelial,CNN1,Mural / pericyte,2830.096665171749,-0.1332034243149173,-6.0938420721498,1.2253254409320238,0.0978973596346581,15.628218880309156,True,-6.287335263471054,-0.12951649655606226,True,True,True
Fibroblast / CAF,Exocrine epithelial,CNN1,Mural / pericyte,2830.096665171749,-0.2177311457236984,-8.942753260531061,1.2253254409320238,0.0978973596346581,2.3405840832691256,True,-12.989488656714869,-0.3130645126534966,True,True,True
