pair,gene,resid_z,excess,proportional_expected
T / NK -> Myeloid,BIRC3,10.236148346523297,20617.31207799002,7947.601886841857
T / NK -> Myeloid,CIITA,10.799932540665717,2454.3074904519876,647.4929541960288
T / NK -> Myeloid,LY75,13.32058148631123,2202.7302355441548,561.0835604243521
Endothelial -> T / NK,PEG10,8.94051593919952,194.41273699918847,18.20002102148359
Myeloid -> T / NK,CTSL,11.368268645932288,3406.2714078392173,889.4063352383537
Myeloid -> T / NK,FCGR2A,10.401054739590823,1410.2241877428164,216.45111653473143
Myeloid -> T / NK,MAN1A1,8.0688087386464,1485.9255099836319,311.0076336375809
Myeloid -> T / NK,MRC1,9.19648827088457,956.9682628028381,136.15239852904523
Myeloid -> T / NK,ZEB2,10.402665036121698,1676.7802795343778,206.3976990285343
Myeloid -> T / NK,MEG3,8.269712248692146,678.3541147162607,143.34719271288319
Myeloid -> T / NK,CLEC10A,8.06505436527233,537.0636538177522,73.18942306200793
Myeloid -> T / NK,ADIPOQ,8.67351906397139,623.9723712331761,90.26413459360715
