cls,gene,n,removal_prob
outplane,AMY2A,1,0.9999773059092085
outplane,CD8A,1,0.5382912612828653
outplane,CXCL6,1,0.9982158731812572
outplane,GATM,2,0.9999520112563454
ambient,ANPEP,1,0.9997456236718102
ambient,KLK11,1,0.9972381077153606
inplane,TENT5C,1,0.9976784644779748
inplane,AMY2A,1,0.9999808378463642
inplane,FXYD2,1,0.9787240289637541
inplane,GATM,1,0.9999598740771436
inplane,TCIM,1,0.0
inplane,MYC,1,0.6818088513741712
inplane,CFTR,1,0.9998647103565301
inplane,AMY2A,2,0.9999761627873361
induction,AMY2A,5,0.9999784142081184
induction,GATM,4,0.9999544780161527
induction,AQP8,1,0.999822439195747
induction,AMY2A,3,0.9999819076131005
induction,GATM,4,0.9999622004764535
induction,AQP8,3,0.9998519806218497
outplane,ANPEP,1,0.9996879466346875
outplane,TENT5C,1,0.9975709348809672
outplane,AMY2A,1,0.9999783997846323
outplane,GATM,2,0.9999543516204683
outplane,AQP8,1,0.9998221031349802
outplane,PDGFRB,1,0.22102709401554
outplane,ASPN,1,0.325097475159965
outplane,TBX3,1,0.24237920994128448
outplane,EHF,1,0.9987746796210666
outplane,AMY2A,1,0.9999788497854037
ambient,ANPEP,1,0.9996408479746549
ambient,CA4,1,0.8365636825996863
ambient,PROX1,1,0.8948270738526618
ambient,AQP3,1,0.8912527081968881
outplane,MYH11,1,0.9961584203034153
outplane,AMY2A,2,0.9999804827556581
outplane,GATM,2,0.999959078362582
induction,AMY2A,1,0.9999810388888286
induction,GATM,5,0.9999603610848602
induction,AQP8,4,0.9998448184356659
ambient,UMOD,1,0.9247574035578261
ambient,AQP8,1,0.9998300891947987
inplane,AMY2A,2,0.9999804502472492
inplane,HAMP,1,0.9083244055809885
inplane,GATM,1,0.9999591019144244
outplane,MYC,1,0.8196406372940483
outplane,AMY2A,3,0.999979642013245
inplane,NTN4,1,0.7596727334610842
inplane,TENT5C,1,0.9976095009643505
inplane,AMY2A,1,0.9999803373981934
inplane,GATM,1,0.9999588919652844
outplane,FKBP11,1,0.9762814188570771
outplane,EPCAM,1,0.999556007171646
outplane,MET,1,0.7452482159810265
outplane,AMY2A,2,0.9999762425943352
outplane,GATM,1,0.999949205465663
ambient,PEBP4,1,0.7874368965965411
ambient,GLYATL1,1,0.6714783254151757
outplane,SRPX,1,0.2487348018084401
outplane,AMY2A,2,0.9999808236110471
outplane,GATM,1,0.999959839805452
outplane,CD3D,1,0.8276151888752858
outplane,AMY2A,2,0.9999730859159078
outplane,GATM,1,0.9999427494867842
induction,AMY2A,4,0.9999777959494497
induction,GATM,3,0.9999532522985546
induction,AQP8,3,0.9998175315093264
inplane,PCNA,1,0.6924379023817274
inplane,AMY2A,2,0.9999772088227181
inplane,AQP8,1,0.9998121042434954
induction,AMY2A,3,0.9999819229147936
induction,GATM,4,0.9999622117229986
induction,AQP8,3,0.9998520584480118
outplane,CLEC4E,1,0.8244669507663328
outplane,PPP1R1B,1,0.9900783794191709
outplane,AMY2A,1,0.9999789070966882
outplane,AQP8,1,0.9998264756538714
inplane,CXCR4,1,0.07125498427655741
inplane,MYC,1,0.43555585831088683
inplane,C1orf162,2,0.5845252815056254
inplane,AMY2A,1,0.9999264729379829
induction,AMY2A,6,0.9999805664554288
induction,GATM,1,0.9999592981209768
induction,AQP8,3,0.9998407805213353
outplane,NTN4,1,0.8981959528981459
outplane,CFB,1,0.9356778926808065
outplane,KCNK3,1,0.9848675604887808
outplane,CXCL2,1,0.7920765976682237
ambient,CFTR,1,0.9998930777421429
ambient,GATM,1,0.9999619268221871
ambient,RIDA,1,0.9011029877955873
ambient,AMY2A,1,0.9999804373958989
outplane,TIMP4,1,0.38702817834044023
outplane,AMY2A,2,0.9999824740977487
outplane,GATM,1,0.999963352010818
outplane,AQP8,1,0.9998565415849798
induction,AMY2A,5,0.9999823783239656
induction,GATM,4,0.9999631614173119
induction,AQP8,1,0.9998557798193138
ambient,UMOD,1,0.9282853668903123
ambient,COCH,1,0.8486084339602866
outplane,AMY2A,3,0.9999833581769733
outplane,CPA3,1,0.9344197234123349
inplane,AMY2A,3,0.9999820799188945
inplane,FXYD2,1,0.9844280184602675
inplane,SMYD2,1,0.7823775968566214
inplane,FKBP11,1,0.9458651175784062
inplane,AMY2A,2,0.9999802285320425
inplane,AMY2A,2,0.9999318517913525
inplane,GATM,1,0.9998434754773946
inplane,AQP8,1,0.9994116184913141
outplane,FKBP11,1,0.7942266551295729
outplane,MYC,1,0.46173625731414847
outplane,ANPEP,1,0.999069159182338
outplane,RND1,1,0.2027700836482601
outplane,AMY2A,2,0.999935723968924
outplane,GPC3,1,0.5279747541470015
outplane,GATM,1,0.9998524234442522
outplane,SEMA3C,1,0.81695918175393
outplane,CFTR,1,0.9997015363305618
outplane,AMY2A,3,0.9999352399620188
outplane,AMY2A,2,0.9999256338331791
outplane,FXYD2,2,0.9131396266664721
outplane,AMY2A,4,0.9999446266409393
outplane,GATM,1,0.9998757754993682
outplane,FKBP11,1,0.7881355284457247
outplane,CFTR,1,0.9996780732013949
outplane,AMY2A,1,0.9999453628602125
outplane,CPA3,1,0.6509634384078337
outplane,GATM,1,0.9998774820214669
ambient,RIDA,1,0.5476633619862981
ambient,COCH,1,0.42783019212598217
inplane,CFTR,2,0.999670459776966
inplane,TM4SF4,1,0.9931783452290825
inplane,GATM,1,0.9998484540127746
induction,AMY2A,2,0.9999414780334327
induction,GATM,2,0.9998688998428698
induction,AQP8,2,0.9995017540290401
outplane,PDGFRA,1,0.841021897553627
outplane,AMY2A,1,0.9999237574976838
outplane,C7,1,0.634802047484153
outplane,GATM,1,0.9998254854389012
induction,AQP8,4,0.9994243563144647
outplane,AMY2A,4,0.9999376215593246
outplane,AQP8,1,0.9994596613361734
outplane,GCG,1,0.9976387450034676
outplane,SFRP4,1,0.8969030445471473
outplane,CFTR,2,0.999683482251443
outplane,AMY2A,1,0.9999438462896054
outplane,PROX1,1,0.6275814542513445
induction,AMY2A,4,0.9999533166025069
induction,GATM,1,0.9998970363404958
induction,AQP8,3,0.9996060159110972
ambient,FKBP11,1,0.8328947234675533
ambient,COCH,1,0.5629665800695918
inplane,PMP22,1,0.20927324056391972
inplane,MYC,1,0.5076230907432104
inplane,AMY2A,4,0.9999634127528241
induction,AMY2A,2,0.9999332550282043
induction,AQP8,2,0.9994237609881728
inplane,MDM2,1,0.7705149638354896
inplane,CFTR,1,0.9997853295234685
inplane,AMY2A,1,0.9999463993596297
inplane,GATM,1,0.9998798125476113
outplane,FGL2,1,0.6027007731857382
outplane,PTPRC,1,0.9978232246522541
outplane,AMY2A,2,0.9999436017180725
ambient,CA4,1,0.4788596740530253
ambient,COCH,1,0.45200464695189146
outplane,CFTR,1,0.9998371762056852
outplane,AMY2A,2,0.9999732564090698
outplane,GATM,2,0.9999432176414481
induction,AMY2A,2,0.9999795069156215
induction,GATM,4,0.9999570590789254
induction,AQP8,4,0.9998320554163456
inplane,KRT7,1,0.9908220623881581
inplane,AMY2A,5,0.9999807160350406
inplane,GATM,1,0.999959592816095
outplane,TENT5C,1,0.996245485148763
outplane,AMY2A,4,0.9999643314175657
outplane,AQP8,1,0.9997031477343539
ambient,ANPEP,1,0.9994572532779793
ambient,CPA3,1,0.8023115226501282
induction,AMY2A,2,0.9999745530846658
induction,GATM,6,0.9999460615586218
induction,AQP8,2,0.9997900641751879
ambient,KCNK3,1,0.9329835329129406
ambient,PROX1,1,0.8019541453487602
inplane,GDF15,2,0.863764746626527
inplane,AMY2A,2,0.99996627505232
inplane,GATM,1,0.9999280175388908
induction,AMY2A,3,0.9999796339096428
induction,GATM,4,0.9999571365828958
induction,AQP8,3,0.9998326668662403
inplane,AMY2A,1,0.9999809758505398
inplane,KCNK3,1,0.9765576904443565
inplane,GATM,2,0.9999602117097147
induction,AMY2A,4,0.999977808535289
induction,GATM,3,0.9999534146247597
induction,AQP8,3,0.9998179437082203
outplane,SMYD2,1,0.7668986893582047
outplane,ANPEP,1,0.9997266735965209
outplane,AMY2A,1,0.9999807439325051
outplane,AQP8,1,0.9998423839041966
induction,AMY2A,5,0.999966065329133
induction,GATM,4,0.9999265099174272
induction,AQP8,1,0.9997165651591761
inplane,ANPEP,1,0.9996205464806697
inplane,AMY2A,3,0.9999735748633258
outplane,EPCAM,1,0.9991785693573719
outplane,ANPEP,1,0.9994742453308719
outplane,GPC3,1,0.604775069421658
outplane,GATM,2,0.9999223934089206
ambient,UMOD,1,0.8655946128332939
ambient,PEBP4,1,0.6483720683977922
induction,AMY2A,1,0.9999801424565917
induction,GATM,2,0.9999584158562858
induction,AQP8,7,0.9998373202877643
inplane,AMY2A,1,0.9999806052417874
inplane,COCH,1,0.8227377618789699
inplane,GATM,2,0.9999593936201999
induction,AMY2A,3,0.9999798477177093
induction,GATM,4,0.9999576510037519
induction,AQP8,3,0.9998345697707643
inplane,AMY2A,2,0.9999744920291693
inplane,EGFR,1,0.8512048064090274
inplane,GATM,2,0.9999459362459716
inplane,AQP8,1,0.999789569819404
inplane,AMY2A,5,0.999976271849142
inplane,KCNK3,1,0.9565125367331163
inplane,ANPEP,1,0.9995778926498325
inplane,ADAM28,1,0.8267359725758984
inplane,AMY2A,3,0.9999709645013252
inplane,GPC3,1,0.8527763089996787
inplane,GATM,1,0.9999380531498017
inplane,TCIM,1,0.0
inplane,CYTIP,1,0.9024791515789237
inplane,AMY2A,3,0.9999595348408763
inplane,GATM,1,0.99991226659145
ambient,DPEP1,1,0.9438524326824426
ambient,HAMP,1,0.7589436257583285
ambient,ANPEP,1,0.9996652529637555
ambient,PEBP4,1,0.6360903002295194
ambient,DPEP1,1,0.9679050549643339
ambient,AQP3,1,0.850882182066256
ambient,RIDA,1,0.8340135440258447
ambient,UMOD,1,0.8867644711244664
ambient,HAMP,1,0.841046462943494
ambient,GATM,1,0.9999447278050932
ambient,HAMP,1,0.8421268609372263
ambient,AQP3,1,0.8131470491840835
inplane,TENT5C,1,0.9978288122220065
inplane,AMY2A,2,0.9999795013404444
inplane,GATM,1,0.9999568290757447
ambient,KLK11,1,0.9968929801530475
ambient,AQP3,1,0.8610978392965352
outplane,CD79A,1,0.9727749667691962
outplane,AMY2A,3,0.9999698057077201
outplane,GATM,1,0.9999354893265471
outplane,AQP8,1,0.999749760028344
outplane,APOLD1,1,0.0
outplane,CFTR,1,0.9998313606154191
outplane,AMY2A,2,0.999964637549966
inplane,IGF1,1,0.5764838367627434
inplane,AMY2A,2,0.9999617806283435
inplane,GATM,2,0.9999124439067236
inplane,CD1C,1,0.9281470930236371
inplane,AMY2A,1,0.9999749720907609
inplane,GATM,3,0.9999469451674623
induction,AMY2A,3,0.9999795451777767
induction,GATM,5,0.9999571949201119
induction,AQP8,2,0.9998324959115819
inplane,NTN4,1,0.8805379845388878
inplane,CFTR,1,0.9998646487962399
inplane,AMY2A,2,0.9999743745592594
induction,AMY2A,1,0.9999689984037025
induction,GATM,5,0.9999338752359529
induction,AQP8,4,0.9997433192284633
inplane,EDN1,1,0.21397120964749095
inplane,ANPEP,1,0.9997109835268604
inplane,AMY2A,1,0.999979734696013
inplane,INS,1,0.9974807398699842
ambient,RIDA,1,0.7763972937053871
ambient,PROX1,1,0.8299338798236172
outplane,FKBP11,1,0.8326568016249869
outplane,SERPINB9,1,0.18510036319600298
outplane,TENT5C,1,0.9960410463185361
outplane,AMY2A,1,0.9999653259393221
ambient,HAMP,1,0.8372350825025429
ambient,COCH,1,0.6791659151820411
induction,AMY2A,3,0.9999775875054808
induction,GATM,2,0.9999528847434004
induction,AQP8,5,0.999815980796701
outplane,CD163,1,0.9963406772533115
outplane,CD1E,1,0.7120652290474774
outplane,AMY2A,4,0.9999716658727323
ambient,CA4,1,0.8097973567208863
ambient,AMY2A,1,0.999945215758953
ambient,UMOD,1,0.8945594039327606
ambient,AMY2A,1,0.9999737702651879
induction,GATM,3,0.9998368916225902
induction,AQP8,1,0.9993875672045512
outplane,CD163,1,0.9919250628426933
outplane,CFTR,1,0.9997435889439839
outplane,CLIC6,1,0.7490103483552782
outplane,AMY2A,1,0.9999454971312083
inplane,FSTL3,1,0.7670254976046014
inplane,PROX1,1,0.7500423749476751
inplane,CYP1A1,1,0.04447093546295122
inplane,DIRAS3,1,0.8378939374610003
outplane,AMY2A,3,0.9999794201460755
outplane,GATM,2,0.9999569660163996
induction,AMY2A,4,0.9999797593694553
induction,GATM,4,0.9999575971873247
induction,AQP8,2,0.9998341448401995
