target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit
Exocrine epithelial,Immune,CD86,Immune,549.1986039174196,6.256129911715025e-05,0.0015048844386034669,1.0,0.3407118385655288,36.67785080663694,False
Exocrine epithelial,Mural / pericyte,CD86,Immune,549.1986039174196,0.18607628741423285,0.826841066207241,1.0,0.3407118385655288,6.985191394244202,False
Exocrine epithelial,Ductal/tumor epithelial,SNAI1,Endothelial,233.89299104901303,0.016507961015574238,0.33982810368469535,1.0,0.2958044851413857,0.9507985519338054,False
Exocrine epithelial,Endocrine,SNAI1,Endothelial,233.89299104901303,0.08313942042874127,0.6483765627509464,1.0,0.2958044851413857,1.236807387862797,False
Exocrine epithelial,Endothelial,SNAI1,Endothelial,233.89299104901303,-0.09328812402931533,-1.2497670672874484,1.0,0.2958044851413857,13.391810907629985,False
Exocrine epithelial,Fibroblast / CAF,SNAI1,Endothelial,233.89299104901303,-0.01881100819136857,-0.25107861212698457,1.0,0.2958044851413857,8.323362638505955,False
Exocrine epithelial,Immune,SNAI1,Endothelial,233.89299104901303,0.08528445589918265,1.4249604950846504,1.0,0.2958044851413857,4.412373029369858,False
Exocrine epithelial,Mural / pericyte,SNAI1,Endothelial,233.89299104901303,-0.1123411629596401,-0.264959142848713,1.0,0.2958044851413857,9.779267951941883,False
Exocrine epithelial,Ductal/tumor epithelial,SELL,Immune,252.4268423421145,0.080782820381901,1.5943362849324716,1.1639240764406955,0.21254095571448162,1.0221084433288408,False
Exocrine epithelial,Endocrine,SELL,Immune,252.4268423421145,-0.018800546459733874,-0.11776345555731567,1.1639240764406955,0.21254095571448162,0.6184036939313985,False
Exocrine epithelial,Endothelial,SELL,Immune,252.4268423421145,0.02920582660217621,0.4063943972545432,1.1639240764406955,0.21254095571448162,3.3479527269074962,False
Exocrine epithelial,Fibroblast / CAF,SELL,Immune,252.4268423421145,0.15273814063471014,2.230325473071983,1.1639240764406955,0.21254095571448162,3.715786892190159,False
Exocrine epithelial,Immune,SELL,Immune,252.4268423421145,-0.033835802651355405,-0.504444063640427,1.1639240764406955,0.21254095571448162,6.618559544054787,False
Exocrine epithelial,Mural / pericyte,SELL,Immune,252.4268423421145,0.2348182040996668,0.6815371845183037,1.1639240764406955,0.21254095571448162,2.4448169879854706,False
Exocrine epithelial,Ductal/tumor epithelial,FCGR1A,Immune,1879.47016876312,0.07766834012851609,4.467370183863877,1.0192875128279684,0.29385041159732483,10.767793600650347,False
Exocrine epithelial,Endocrine,FCGR1A,Immune,1879.47016876312,-0.01646715965485766,-0.3009271228594545,1.0192875128279684,0.29385041159732483,2.8858839050131926,False
Exocrine epithelial,Endothelial,FCGR1A,Immune,1879.47016876312,-0.006385673855154455,-0.2526609579926224,1.0192875128279684,0.29385041159732483,12.722220362248486,False
Exocrine epithelial,Fibroblast / CAF,FCGR1A,Immune,1879.47016876312,0.023755536629950703,0.9215001405772439,1.0192875128279684,0.29385041159732483,24.449877750611247,False
Exocrine epithelial,Immune,FCGR1A,Immune,1879.47016876312,0.09004878043701638,4.228650412605169,1.0192875128279684,0.29385041159732483,80.5258077859999,False
Exocrine epithelial,Mural / pericyte,FCGR1A,Immune,1879.47016876312,-0.08497219068149195,-0.5838640270734627,1.0192875128279684,0.29385041159732483,19.209276334171555,False
Exocrine epithelial,Ductal/tumor epithelial,INMT,Fibroblast / CAF,881.591996316359,-0.061930638555997584,-2.469089025569021,1.0,0.3659416349665121,6.15642062377139,False
Exocrine epithelial,Endocrine,INMT,Fibroblast / CAF,881.591996316359,0.03522881591983928,0.49490863956249714,1.0,0.3659416349665121,3.504287598944591,False
Exocrine epithelial,Endothelial,INMT,Fibroblast / CAF,881.591996316359,0.1167342919949034,3.495839885637494,1.0,0.3659416349665121,29.238787148325464,False
Exocrine epithelial,Fibroblast / CAF,INMT,Fibroblast / CAF,881.591996316359,0.028288965211442058,0.7646101009721182,1.0,0.3659416349665121,72.3835286598643,False
Exocrine epithelial,Immune,INMT,Fibroblast / CAF,881.591996316359,0.02238413441668482,0.7012029388496461,1.0,0.3659416349665121,22.153789584961164,False
Exocrine epithelial,Mural / pericyte,INMT,Fibroblast / CAF,881.591996316359,0.3004660080919236,1.8221280717535768,1.0,0.3659416349665121,30.73484213467449,False
Exocrine epithelial,Ductal/tumor epithelial,SRPX,Fibroblast / CAF,836.0110542558915,-0.016968649593874008,-0.6600645409736013,1.0,0.36358562335493916,4.658912904475646,False
Exocrine epithelial,Endocrine,SRPX,Fibroblast / CAF,836.0110542558915,0.010946868952780178,0.1433366844641966,1.0,0.36358562335493916,5.153364116094987,False
Exocrine epithelial,Endothelial,SRPX,Fibroblast / CAF,836.0110542558915,0.07106046637759422,2.003489642103571,1.0,0.36358562335493916,23.435669088352473,False
Exocrine epithelial,Fibroblast / CAF,SRPX,Fibroblast / CAF,836.0110542558915,0.02565541138254443,0.6693989586535178,1.0,0.36358562335493916,73.86984341674037,False
Exocrine epithelial,Immune,SRPX,Fibroblast / CAF,836.0110542558915,0.035369146248548325,1.0816978356270956,1.0,0.36358562335493916,27.57733143356161,False
Exocrine epithelial,Mural / pericyte,SRPX,Fibroblast / CAF,836.0110542558915,-0.5198339849101603,-1.8613516684862084,1.0,0.36358562335493916,36.67225481978206,False
Exocrine epithelial,Ductal/tumor epithelial,TCF4,Endothelial,825.6033640637716,0.01095966055032445,0.4238480566824474,1.0,0.3489896986125549,5.799871166796213,False
Exocrine epithelial,Endocrine,TCF4,Endothelial,825.6033640637716,0.041321533414907796,0.5653091497252457,1.0,0.3489896986125549,10.100593667546173,False
Exocrine epithelial,Endothelial,TCF4,Endothelial,825.6033640637716,-0.0057220799121441655,-0.15247736127240863,1.0,0.3489896986125549,58.70077114511143,False
Exocrine epithelial,Fibroblast / CAF,TCF4,Endothelial,825.6033640637716,0.01332420361640265,0.34070476390941995,1.0,0.3489896986125549,37.752394824652015,False
Exocrine epithelial,Immune,TCF4,Endothelial,825.6033640637716,0.016458259896897746,0.4928531050042168,1.0,0.3489896986125549,18.10911430803879,False
Exocrine epithelial,Mural / pericyte,TCF4,Endothelial,825.6033640637716,-0.07505870128190065,-0.34190184648917654,1.0,0.3489896986125549,63.56524168762224,False
Exocrine epithelial,Ductal/tumor epithelial,HPGDS,Immune,172.77973417804606,0.07006479790207096,1.2153987462147997,1.034174972639454,0.33468242215420585,1.4499677916990532,False
Exocrine epithelial,Endocrine,HPGDS,Immune,172.77973417804606,-0.13978473090871907,-0.6401651288740632,1.034174972639454,0.33468242215420585,1.0306728232189974,False
Exocrine epithelial,Endothelial,HPGDS,Immune,172.77973417804606,-0.029477725575647994,-0.3479771299331544,1.034174972639454,0.33468242215420585,1.2275826665327487,False
Exocrine epithelial,Fibroblast / CAF,HPGDS,Immune,172.77973417804606,0.16602548686490973,2.1621875435982045,1.034174972639454,0.33468242215420585,3.3442082029711435,False
Exocrine epithelial,Immune,HPGDS,Immune,172.77973417804606,0.01296950618478851,0.1763371655556584,1.034174972639454,0.33468242215420585,6.434710667831043,False
Exocrine epithelial,Mural / pericyte,HPGDS,Immune,172.77973417804606,0.26374446310301125,0.6855873050472783,1.034174972639454,0.33468242215420585,3.492595697122101,False
Exocrine epithelial,Ductal/tumor epithelial,PMP22,Fibroblast / CAF,1841.817548191364,0.04441924264527547,2.5596511464838296,1.0,0.3405562173434846,19.08728093007114,False
